id_interaccion,emisor,receptor,comentario,etiquetas,tipo_interaccion,timestamp
1,Usuario_6,Usuario_10,Me parece dudoso,"Mundo, Deportes",compartir,2025-01-21 01:21:58
2,Usuario_2,Usuario_3,Me parece dudoso,Política,compartir,2025-01-20 08:03:35
3,Usuario_1,Usuario_7,¿Alguien más lo vio?,Política,respuesta,2025-01-28 17:21:42
4,Usuario_6,Usuario_8,¿Alguien más lo vio?,"Política, Tecnología",retweet,2025-01-29 08:39:51
5,Usuario_9,Usuario_2,Información errónea,Política,compartir,2025-02-04 03:43:20
6,Usuario_5,Usuario_2,¿Alguien más lo vio?,"Deportes, Cultura",mención,2025-01-09 17:53:03
7,Usuario_8,Usuario_4,Alerta de fake news,Mundo,retweet,2025-01-24 16:21:42
8,Usuario_7,Usuario_5,Necesito más detalles,"Tecnología, Salud",retweet,2025-01-22 04:32:17
9,Usuario_7,Usuario_5,Necesito más detalles,Salud,compartir,2025-01-28 07:53:48
10,Usuario_4,Usuario_10,¿Alguien más lo vio?,Economía,mención,2025-01-11 19:26:10
11,Usuario_8,Usuario_1,No lo creo...,"Tecnología, Salud",compartir,2025-01-17 17:27:51
12,Usuario_9,Usuario_10,Muy convincente,Política,respuesta,2025-01-06 02:15:52
13,Usuario_10,Usuario_7,Muy convincente,Mundo,compartir,2025-01-11 23:05:31
14,Usuario_10,Usuario_2,Necesito más detalles,"Política, Deportes",respuesta,2025-01-15 22:09:10
15,Usuario_7,Usuario_2,Esto es interesante,Política,mención,2025-02-03 18:57:29
16,Usuario_3,Usuario_1,Muy convincente,Economía,respuesta,2025-01-16 17:27:42
17,Usuario_9,Usuario_1,Me parece dudoso,"Economía, Mundo",respuesta,2025-01-06 14:51:31
18,Usuario_7,Usuario_2,Muy convincente,"Economía, Cultura",compartir,2025-01-14 12:57:32
19,Usuario_7,Usuario_5,Revisa esta fuente,Salud,retweet,2025-02-04 06:36:39
20,Usuario_9,Usuario_10,Gran noticia!,Salud,compartir,2025-01-14 23:43:37
21,Usuario_4,Usuario_6,Información errónea,Tecnología,respuesta,2025-01-25 01:56:56
22,Usuario_5,Usuario_10,Esto es interesante,"Salud, Mundo",mención,2025-01-13 00:47:50
23,Usuario_8,Usuario_7,Muy convincente,Política,compartir,2025-01-29 10:36:06
24,Usuario_4,Usuario_8,Me parece dudoso,Tecnología,mención,2025-01-20 05:34:47
25,Usuario_1,Usuario_8,Muy convincente,Economía,mención,2025-01-12 16:44:16
26,Usuario_8,Usuario_4,Totalmente de acuerdo,"Economía, Política",respuesta,2025-01-16 05:28:17
27,Usuario_10,Usuario_4,Información errónea,"Tecnología, Economía",mención,2025-01-26 08:40:14
28,Usuario_2,Usuario_10,Me parece dudoso,"Mundo, Política",respuesta,2025-01-29 17:23:23
29,Usuario_7,Usuario_9,Revisa esta fuente,"Cultura, Tecnología",compartir,2025-01-22 10:54:09
30,Usuario_8,Usuario_10,Alerta de fake news,Tecnología,retweet,2025-02-04 10:13:15
